Product code,Product label,Viet Nam's imports from Germany-Value in 2012,Viet Nam's imports from Germany-Value in 2013,Viet Nam's imports from Germany-Value in 2014,Viet Nam's imports from Germany-Value in 2015,Viet Nam's imports from Germany-Value in 2016,Viet Nam's imports from Germany-Value in 2017,Viet Nam's imports from Germany-Value in 2018,Viet Nam's imports from Germany-Value in 2019,Viet Nam's imports from Germany-Value in 2020,Viet Nam's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
TOTAL,All products,2377327,2954013,2606560,3202733,2850215,3203719,3811993,3698442,3355861,,,1410146321,1450937515,1498238432,1323665116,1332489067,1444776367,1556622939,1486877250,1379900278,1626387793,,113780431,132032531,147839048,165775858,174978350,213215299,236868823,253442016,261309452,329199265
10121,Pure-bred breeding horses,0,0,0,0,0,0,0,0,0,,,33665,45808,35604,36763,41180,58598,56675,45839,50201,27112,,0,180,52,0,0,0,15,0,0,144
10620,"Live reptiles """"e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""""""""",0,0,0,0,0,0,0,0,0,,,1576,1618,1307,2119,2309,2538,3236,3405,5647,8083,,558,326,804,786,3074,6749,5271,7094,6209,4630
10632,"Live psittaciformes """"incl. parrots, parrakeets, macaws and cockatoos""""""""",0,0,0,0,0,5,0,0,0,,,314,137,152,222,130,348,40,150,106,41,,0,0,0,79,80,30,71,29,1,24
10639,"Live birds (excluding birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ...",0,0,0,1,0,0,129,0,0,,,12,10,20,40,81,66,93,140,36,22,,10,150,548,182,177,720,684,918,163,2271
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",0,0,0,0,0,0,0,0,0,,,266788,239131,237547,190359,183995,182069,156043,135942,118253,143396,,0,10,0,3,0,6,5,0,0,
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",0,0,0,0,0,0,0,0,0,,,10614,8001,7888,5477,4659,8042,10515,9172,4869,5753,,2426,2767,2394,4111,4630,5928,10968,10960,6644,22727
20410,Fresh or chilled lamb carcases and half-carcases,0,0,0,0,0,0,0,0,0,,,3374,3235,3687,4234,5058,4368,5856,5124,6951,8695,,0,1,0,0,0,0,0,0,0,41
20641,Frozen edible livers of swine,0,0,0,0,0,0,0,0,0,,,12670,12063,10479,9137,12102,11901,11091,10631,7714,7540,,87,24,87,102,22,13,39,127,88,1022
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",0,0,0,77,147,0,0,21,0,,,220,243,238,178,99,88,324,275,358,496,,138,48,12,244,639,400,891,22,292,2556
20752,"Frozen domestic geese, not cut in pieces",0,0,0,0,0,0,0,0,0,,,4869,2817,4204,2494,3622,4868,4218,1755,381,660,,0,0,0,0,0,4,39,3,5,18
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ...",0,0,0,31,237,58,1843,1456,3585,,,270104,203670,138652,100806,131462,116673,105581,159243,134689,119485,,210,595,1071,1430,1422,1738,7249,8580,26680,10659
