Product code,Product label,Viet Nam's imports from Japan-Value in 2012,Viet Nam's imports from Japan-Value in 2013,Viet Nam's imports from Japan-Value in 2014,Viet Nam's imports from Japan-Value in 2015,Viet Nam's imports from Japan-Value in 2016,Viet Nam's imports from Japan-Value in 2017,Viet Nam's imports from Japan-Value in 2018,Viet Nam's imports from Japan-Value in 2019,Viet Nam's imports from Japan-Value in 2020,Viet Nam's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
TOTAL,All products,11602055,11558300,12857046,14182099,15098323,16916806,19040861,19532763,20276831,,,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,757460945,,113780431,132032531,147839048,165775858,174978350,213215299,236868823,253442016,261309452,329199265
10121,Pure-bred breeding horses,0,0,0,0,0,0,0,0,0,,,148,789,2297,5889,1825,10186,11597,14811,1060,10938,,0,180,52,0,0,0,15,0,0,144
10620,"Live reptiles """"e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""""""""",0,0,0,0,0,0,0,0,0,,,19,254,578,1859,874,190,30,125,68,100,,558,326,804,786,3074,6749,5271,7094,6209,4630
10632,"Live psittaciformes """"incl. parrots, parrakeets, macaws and cockatoos""""""""",0,0,0,0,0,0,0,0,0,,,59,84,49,0,0,0,0,0,4,0,,0,0,0,79,80,30,71,29,1,24
10639,"Live birds (excluding birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ...",0,0,0,0,0,0,0,124,0,,,391,13,74,346,191,140,1092,70,1032,3,,10,150,548,182,177,720,684,918,163,2271
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",0,0,0,0,0,0,0,0,0,,,0,0,0,13,6,21,89,10,11,11,,0,10,0,3,0,6,5,0,0,
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",0,0,0,0,0,1,0,82,0,,,0,18,0,9,33,22,0,0,0,0,,2426,2767,2394,4111,4630,5928,10968,10960,6644,22727
20410,Fresh or chilled lamb carcases and half-carcases,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,41
20641,Frozen edible livers of swine,0,0,0,0,0,0,0,0,9,,,0,0,0,0,0,0,0,0,26,46,,87,24,87,102,22,13,39,127,88,1022
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,9,106,0,0,0,,138,48,12,244,639,400,891,22,292,2556
20752,"Frozen domestic geese, not cut in pieces",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,4,39,3,5,18
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ...",0,0,0,0,0,0,0,0,0,,,0,0,3,2,0,8,3,6,13,44,,210,595,1071,1430,1422,1738,7249,8580,26680,10659
21093,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...""",0,0,0,0,0,0,0,0,0,,,5,18,16,0,0,45,45,49,25,47,,0,0,0,0,0,0,0,0,0,25
30199,"Live fish (excluding ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...",0,0,0,0,0,0,0,0,2,,,26426,22387,20321,21045,29622,31846,49281,49327,48890,74366,,342,372,1308,3819,8071,15971,16447,26033,29020,30359
30221,"Fresh or chilled lesser or Greenland halibut """"Reinhardtius hippoglossoides, Atlantic halibut ...""",0,0,0,0,1,0,4,4,7,,,0,0,0,2,0,0,4,8,0,0,,0,0,0,0,1,0,4,40,7,
30256,"Fresh or chilled blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2,0,0,0,0,0,0,7,0,
30285,"Fresh or chilled sea bream """"Sparidae""""""""",0,0,0,1,17,5,22,51,46,,,1333,1530,2384,3620,4855,6526,9286,10398,9655,11110,,0,0,0,1,17,24,39,51,46,
30314,"Frozen trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...""",1380,261,219,575,0,0,86,15,707,,,302,23,17,2,5,392,0,697,1017,946,,16212,18538,18879,20445,22446,23989,27907,42687,50934,43841
30331,"Frozen lesser or Greenland halibut """"Reinhardtius hippoglossoides"""", Atlantic halibut """"Hippoglossus ...""",0,0,0,0,4,2,9,22,9,,,684,213,138,376,2617,5065,5603,6561,5925,8279,,112,169,0,1,8,2,9,998,2080,516
30341,"Frozen albacore or longfinned tunas """"Thunnus alalunga""""""""",0,155,7426,9288,12141,16726,9713,18482,29270,,,54897,41619,47866,40492,34306,41677,46774,30219,93840,39860,,1196,3387,9365,25399,37983,34285,26342,42796,95873,46629
