Product code,Product label,"Viet Nam's imports from Korea, Republic of-Value in 2012","Viet Nam's imports from Korea, Republic of-Value in 2013","Viet Nam's imports from Korea, Republic of-Value in 2014","Viet Nam's imports from Korea, Republic of-Value in 2015","Viet Nam's imports from Korea, Republic of-Value in 2016","Viet Nam's imports from Korea, Republic of-Value in 2017","Viet Nam's imports from Korea, Republic of-Value in 2018","Viet Nam's imports from Korea, Republic of-Value in 2019","Viet Nam's imports from Korea, Republic of-Value in 2020","Viet Nam's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
TOTAL,All products,15535365,20677896,21728466,27578526,32193121,46943334,47582218,46941929,46861783,,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,113780431,132032531,147839048,165775858,174978350,213215299,236868823,253442016,261309452,329199265
10121,Pure-bred breeding horses,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,180,52,0,0,0,15,0,0,144
10620,"Live reptiles """"e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""""""""",0,0,0,0,0,0,0,0,0,,,6,2,3,34,2,14,6,9,65,1366,,558,326,804,786,3074,6749,5271,7094,6209,4630
10632,"Live psittaciformes """"incl. parrots, parrakeets, macaws and cockatoos""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,79,80,30,71,29,1,24
10639,"Live birds (excluding birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ...",0,0,0,0,0,0,0,136,0,,,0,0,0,0,0,0,170,41,0,0,,10,150,548,182,177,720,684,918,163,2271
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,10,0,3,0,6,5,0,0,
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",0,0,0,0,0,0,0,0,0,,,3376,3429,17407,18307,6944,347,282,155,86,73,,2426,2767,2394,4111,4630,5928,10968,10960,6644,22727
20410,Fresh or chilled lamb carcases and half-carcases,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,41
20641,Frozen edible livers of swine,0,0,0,0,0,0,0,0,0,,,0,0,0,0,405,180,15,0,0,60,,87,24,87,102,22,13,39,127,88,1022
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",0,0,0,0,0,0,0,0,0,,,0,0,0,0,107,0,0,0,0,0,,138,48,12,244,639,400,891,22,292,2556
