Product code,Product label,Viet Nam's imports from United States of America-Value in 2012,Viet Nam's imports from United States of America-Value in 2013,Viet Nam's imports from United States of America-Value in 2014,Viet Nam's imports from United States of America-Value in 2015,Viet Nam's imports from United States of America-Value in 2016,Viet Nam's imports from United States of America-Value in 2017,Viet Nam's imports from United States of America-Value in 2018,Viet Nam's imports from United States of America-Value in 2019,Viet Nam's imports from United States of America-Value in 2020,Viet Nam's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
TOTAL,All products,4841730,5242476,6286315,7792507,8712156,9342939,12755720,14376811,13763931,,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,113780431,132032531,147839048,165775858,174978350,213215299,236868823,253442016,261309452,329199265
10121,Pure-bred breeding horses,0,0,50,0,0,0,15,0,0,,,264246,227543,225456,202889,259144,260551,303662,249655,186922,191461,,0,180,52,0,0,0,15,0,0,144
10620,"Live reptiles """"e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""""""""",0,0,0,0,0,0,0,0,0,,,20670,19431,17633,16360,11165,8401,6916,6896,8590,7129,,558,326,804,786,3074,6749,5271,7094,6209,4630
10632,"Live psittaciformes """"incl. parrots, parrakeets, macaws and cockatoos""""""""",0,0,0,0,0,0,0,0,0,,,296,130,226,233,317,372,59,38,0,19,,0,0,0,79,80,30,71,29,1,24
10639,"Live birds (excluding birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ...",0,0,0,0,0,0,37,4,0,,,1810,2152,2219,2319,2331,1666,1682,1701,684,1264,,10,150,548,182,177,720,684,918,163,2271
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",0,0,0,0,0,0,0,0,0,,,10414,5582,7877,6249,9557,8612,10931,6634,5487,19692,,0,10,0,3,0,6,5,0,0,
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",1369,2074,1705,2862,2917,4506,4960,6855,2399,,,343274,597860,771305,579052,570847,698641,831941,796714,616613,830070,,2426,2767,2394,4111,4630,5928,10968,10960,6644,22727
20410,Fresh or chilled lamb carcases and half-carcases,0,0,0,0,0,0,0,0,0,,,330,1176,2341,480,695,909,738,585,601,571,,0,1,0,0,0,0,0,0,0,41
20641,Frozen edible livers of swine,0,0,0,0,0,0,0,0,0,,,3582,1078,1234,982,209,899,177,247,342,1308,,87,24,87,102,22,13,39,127,88,1022
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",61,0,0,0,0,41,62,0,0,,,2152,3644,2706,3078,1910,1753,1408,1669,1424,1750,,138,48,12,244,639,400,891,22,292,2556
20752,"Frozen domestic geese, not cut in pieces",0,0,0,0,0,0,0,0,0,,,396,257,310,304,160,166,222,89,220,80,,0,0,0,0,0,4,39,3,5,18
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ...",0,0,0,0,0,0,69,0,150,,,20958,22829,42318,23223,37495,47005,49118,41374,42729,41123,,210,595,1071,1430,1422,1738,7249,8580,26680,10659
21093,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,21,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,25
30199,"Live fish (excluding ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...",20,0,0,0,24,0,0,0,0,,,25225,24346,22679,21149,21334,17841,16931,15744,13154,13994,,342,372,1308,3819,8071,15971,16447,26033,29020,30359
30221,"Fresh or chilled lesser or Greenland halibut """"Reinhardtius hippoglossoides, Atlantic halibut ...""",0,0,0,0,0,0,0,0,0,,,26833,24730,19329,21945,22172,16385,18091,21072,14667,29039,,0,0,0,0,1,0,4,40,7,
30256,"Fresh or chilled blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,57,25,3,0,55,68,54,110,157,77,,2,0,0,0,0,0,0,7,0,
30285,"Fresh or chilled sea bream """"Sparidae""""""""",0,0,0,0,0,0,0,0,0,,,1010,1163,1305,1402,1529,2892,1873,895,757,990,,0,0,0,1,17,24,39,51,46,
30314,"Frozen trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...""",0,0,0,137,0,1044,0,19,0,,,433,230,552,373,809,3096,2795,1343,1502,1611,,16212,18538,18879,20445,22446,23989,27907,42687,50934,43841
30331,"Frozen lesser or Greenland halibut """"Reinhardtius hippoglossoides"""", Atlantic halibut """"Hippoglossus ...""",0,0,0,1,1,0,0,87,91,,,20836,11620,11652,10530,11375,10592,10136,11126,7658,7771,,112,169,0,1,8,2,9,998,2080,516
30341,"Frozen albacore or longfinned tunas """"Thunnus alalunga""""""""",0,0,932,4170,2519,240,0,2550,8597,,,26794,35018,27743,21514,37621,30396,28192,21139,22321,16940,,1196,3387,9365,25399,37983,34285,26342,42796,95873,46629
30343,"Frozen skipjack or stripe-bellied bonito """"Euthynnus -Katsuwonus- pelamis""""""""",14051,10844,8884,1428,1029,4399,12411,10021,2077,,,1499,3729,825,371,357,488,1370,164,98,137,,54547,57306,61384,52466,32102,47281,70976,45843,29828,29200
30366,"Frozen hake """"Merluccius spp., Urophycis spp.""""""""",0,0,0,0,20,0,73,0,0,,,64653,93708,78918,58624,43185,112991,90030,93740,81138,125708,,0,0,74,2,21,3,152,235,1356,1086
30368,"Frozen blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,13,82,4,14,298,55,10,0,53,160,,185,76,0,31,63,35,0,43,357,
30431,"Fresh or chilled fillets of tilapia """"Oreochromis spp.""""""""",0,0,0,0,0,0,0,0,0,,,9740,10799,10480,15148,17319,19830,16062,16216,16538,16915,,84,0,0,0,0,1,15,59,300,669
30441,"Fresh or chilled fillets of Pacific salmon """"Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...""",0,0,0,0,0,0,2604,0,108,,,96977,116502,99553,110334,99977,118245,132467,115231,139791,169288,,6463,3524,1157,1508,991,364,9333,5090,3062,272
30443,"Fresh or chilled fillets of flat fish """"Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, ...""",0,0,0,0,0,0,0,8,0,,,5059,3571,3352,2676,2434,2471,2671,2503,2073,1523,,53,2,10,0,0,19,1,8,0,
30455,"Fresh or chilled meat, whether or not minced, of toothfish """"Dissostichus spp."""" (excluding ...""",0,0,0,0,0,0,0,0,0,,,50,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
30485,"Frozen fillets of toothfish """"Dissostichus spp.""""""""",0,0,0,0,0,0,0,0,0,,,666,386,361,376,939,861,532,855,412,782,,0,0,0,0,0,0,0,0,1,
30487,"Frozen fillets of tuna """"of the genus Thunnus"""", skipjack or stripe-bellied bonito """"Euthynnus ...""",52,624,0,668,420,0,7,48,0,,,10028,6709,3185,5233,7957,5528,8856,8547,4480,5520,,8592,7103,14940,27432,18789,11748,8543,13566,8963,14857
30542,"Smoked herring """"Clupea harengus, Clupea pallasii"""", incl. fillets (excluding offal)""""",0,0,0,0,0,0,0,0,0,,,66,104,18,0,46,21,8,3,25,25,,4,0,0,0,0,0,0,0,0,
30549,"Smoked fish, incl. fillets (excluding offal, Pacific salmon, Atlantic salmon, Danube salmon, ...",0,0,0,0,0,0,0,0,0,,,1531,1099,1338,3206,821,1587,1957,1814,598,450,,5,0,0,0,1,9,4,0,15,10
30579,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, ...",0,0,0,6,178,5,46,1,1,,,267,180,48,80,3,3,215,262,4,16,,80,42,17,2048,2152,4178,4890,4547,3583,1680
30619,"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. ...",0,0,0,0,0,0,0,0,0,,,2331,3553,4962,4732,6407,8007,5545,5117,1165,2940,,1686,36,3,0,110,194,0,115,117,529
30627,"Shrimps and prawns, even smoked, whether in shell or not, live, fresh, chilled, dried, salted ...",980,2535,4461,4379,6981,9365,0,0,0,,,11067,12284,17498,16802,14646,0,0,0,0,0,,9674,9453,17067,14558,14554,16301,0,0,0,
30732,"Mussels """"Mytilus spp., Perna spp."""", frozen, even in shell""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1087,1086,2364,1084,2156,,0,0,0,0,0,0,995,2155,1306,783
30751,"Octopus """"Octopus spp."""", live, fresh or chilled""""",0,0,0,0,0,36,0,0,0,,,467,236,64,34,42,97,186,42,6,65,,0,4,0,0,1,193,25,0,79,
30789,"Smoked, frozen, dried, salted or in brine, abalone """"Haliotis spp."""", even in shell""""",0,0,0,0,0,0,0,0,0,,,971,3097,103,3285,3472,0,0,0,0,0,,0,30,288,165,649,238,0,0,0,
40310,"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, ...",3,2,4,2,0,0,3,1,0,,,32007,38545,40372,39864,40968,47133,43602,46691,39897,52159,,6506,4899,7218,7193,7243,5964,4203,7019,7929,12694
40721,"Fresh eggs of domestic fowls, in shell (excluding fertilised for incubation)",0,0,0,0,0,0,0,0,0,,,107070,159436,181271,183969,88561,91163,115447,102315,103566,171346,,0,0,0,0,0,0,0,0,0,
40891,"Dried birds' eggs, not in shell, whether or not sweetened (excluding egg yolks)",0,5,10,14,24,7,10,37,91,,,50954,46362,36851,27189,23723,33268,30931,24042,31419,30260,,1280,1850,1705,1934,1814,2957,3353,3564,3143,4205
50800,"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ...",0,0,1,0,0,0,44,280,315,,,9127,2823,3421,3061,3150,3086,3826,3292,3137,3497,,5102,4571,5591,6028,5873,5669,4044,5943,5422,4289
60420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ...",2,0,2,0,12,0,0,0,0,,,48607,51474,61459,60853,73440,96969,95305,89719,62488,84829,,48,3,2,26,45,44,36,74,169,916
70190,Fresh or chilled potatoes (excluding seed),821,806,509,72,87,157,857,779,2311,,,196304,209544,192278,175682,197241,213295,226461,243002,229575,258691,,11367,12908,11256,10380,15287,21318,16476,21561,25788,124652
70529,Fresh or chilled chicory (excluding witloof chicory),0,0,0,0,0,0,0,0,0,,,8246,9596,7604,9521,9050,8674,8004,7803,7212,11556,,0,0,0,21,2,14,40,168,54,3
70610,Fresh or chilled carrots and turnips,1,1,1,0,0,0,0,0,0,,,130866,135717,132129,125889,121597,117504,125260,120798,120637,118979,,8949,9341,9847,12538,13866,16896,15407,17436,19932,92807
70810,"Fresh or chilled peas """"Pisum sativum"""", shelled or unshelled""""",0,0,0,0,0,0,0,0,0,,,50357,60903,56577,57974,57223,58473,57269,51262,52611,61169,,32,209,301,468,467,234,176,292,119,4484
71021,"Shelled or unshelled peas """"Pisum sativum"""", uncooked or cooked by steaming or by boiling ...""",76,122,86,113,91,144,91,111,66,,,18382,17766,16741,17512,19973,17911,21130,19594,16221,15203,,231,424,353,432,424,531,676,702,633,459
71090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",0,0,8,3,4,9,11,26,17,,,34311,33356,34257,29902,28844,30472,28434,28444,32671,33574,,28,58,59,110,109,232,346,394,577,750
71140,"Cucumbers and gherkins provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",1,7,5,6,13,1,2,0,0,,,439,233,238,179,82,568,833,840,1495,1274,,4,13,123,8,13,20,186,360,12,124
71239,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...""",0,0,0,2,0,3,0,0,0,,,3638,6693,4691,3578,4791,4339,4077,3761,3208,3271,,3807,4209,7306,8344,8782,34646,136560,131661,20034,83481
71320,"Dried, shelled chickpeas """"garbanzos"""", whether or not skinned or split""""",9,22,35,22,14,54,63,9,15,,,71830,51741,43541,38212,98775,169434,71713,99822,105242,85773,,189,1117,76,22,14,58,87,84,188,486
71332,"Dried, shelled small red """"Adzuki"""" beans """"Phaseolus or Vigna angularis"""", whether or not ...""",0,0,0,0,1,0,0,0,0,,,5612,7563,12847,14736,7367,9115,9815,10585,18893,12996,,276,233,263,394,276,1772,1506,633,916,9688
71335,"Dried, shelled cow peas """"Vigna unguiculata"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,,,17238,5310,1984,840,1195,1108,1201,1735,1730,1635,,48,0,113,127,6201,219,245,547,560,1010
71340,"Dried, shelled lentils, whether or not skinned or split",1,0,5,6,4,30,28,9,18,,,116052,137403,156685,183197,234883,219481,86078,127299,180335,138753,,7,0,5,7,81,38,140,81,139,374
80131,"Fresh or dried cashew nuts, in shell",0,0,0,0,0,0,0,0,0,,,2175,3315,1804,1754,1697,2550,1333,693,678,1859,,321547,589723,627454,1105038,1626834,2523137,1900260,1668415,1418765,363369
80212,"Fresh or dried almonds, shelled",359,549,1179,2020,3788,6717,44695,64847,51085,,,2493864,3209227,3554181,3771130,3229075,3266450,3375650,3687769,3425593,3381706,,969,1106,1569,3692,16208,28089,99311,91228,75453,88981
80410,Fresh or dried dates,26,45,53,74,155,102,61,160,42,,,39399,45969,47339,54898,58681,58297,66146,74518,89503,116792,,169,394,280,281,410,396,1010,1592,774,1638
80440,Fresh or dried avocados,26,20,37,46,68,0,0,0,0,,,81720,114143,111854,99365,128665,152328,179803,154261,164461,157490,,39,42,54,46,68,0,0,0,0,27
80620,Dried grapes,2500,4032,3525,3283,2896,1950,3768,5487,3971,,,384156,386997,409722,336932,322989,308024,284064,257551,226463,225688,,4409,5651,4912,5784,5819,4950,9128,14527,9935,15269
80921,"Fresh sour cherries """"Prunus cerasus""""""""",931,936,1679,1665,2167,2652,3769,2877,1129,,,4783,4184,20209,23151,24585,42367,21364,18417,28270,22478,,1508,1772,3015,3344,3879,2982,5026,3227,1339,1571
81110,"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",0,1,0,1,0,0,0,10,2,,,52592,61177,56103,54774,53870,52869,60382,54346,42861,44937,,364,234,565,124,174,558,1237,2039,914,1220
81290,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,0,0,0,2,0,0,0,0,,,4044,2732,2109,4436,1186,936,4106,2999,1275,818,,4,3,0,9,26,89,36,17,85,46
